t0,h01,h11,b1,f2,h2,b2,h03,h13,b3,t1,time,score
2019-12-14 11:32:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.058,352.0,2019-12-14 11:36:00,4.000000000000001,87.5
2019-12-14 11:32:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,10.588,0.3529,2019-12-14 11:38:00,6.0,87.5
2019-12-14 11:32:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.058,352.0,2019-12-14 11:40:00,8.000000000000002,87.5
2019-12-14 11:32:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.058,352.0,2019-12-14 11:41:00,9.0,87.5
2019-12-14 11:32:00,0.19,0.63,0.06,5.0,0.5,0.17,0.5,1.18,0.38,2019-12-14 11:41:00,9.0,62.5
2019-12-14 11:30:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.058,353.0,2019-12-14 11:43:00,13.0,87.5
2019-12-14 11:32:00,2.5,0.18,0.06,5.0,0.5,0.16,0.45,1.05,0.25,2019-12-14 11:45:00,13.0,50.0
2019-12-14 11:31:00,0.187,0.625,0.1353,5.0,0.5,0.16,0.45,1.05,0.35,2019-12-14 11:46:00,15.0,87.5
2019-12-14 09:49:00,2.25,0.5,0.17,5.0,0.5,0.17,0.45,1.06,0.35,2019-12-14 09:55:00,6.0,75.0
2019-12-14 09:51:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:55:00,4.000000000000001,100.0
2019-12-14 09:48:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.36,2019-12-14 09:56:00,8.000000000000002,100.0
2019-12-14 09:51:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.06,0.35,2019-12-14 09:58:00,7.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.06,0.35,2019-12-14 10:04:00,15.0,100.0
2019-12-14 10:00:00,118.0,44.0,15.0,5.0,17.0,50.0,45.0,1.058,3.0,2019-12-14 10:07:00,7.0,25.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.07,0.45,1.05,0.35,2019-12-14 10:00:00,11.0,87.5
2019-12-14 09:57:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 10:07:00,10.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 10:00:00,11.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.06,0.35,2019-12-14 10:04:00,15.0,100.0
2019-12-14 09:50:00,0.19,0.63,0.6,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 10:02:00,12.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:59:00,10.0,100.0
2019-12-14 09:46:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:55:00,9.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:59:00,10.0,100.0
2019-12-14 09:49:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:54:00,5.0,100.0
2019-12-14 09:46:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 09:56:00,10.0,100.0
2019-12-14 19:38:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 19:47:00,9.0,100.0
2019-12-14 19:43:00,0.19,0.63,0.6,5.0,0.5,0.17,0.45,1.05,0.35,2019-12-14 19:52:00,9.0,100.0
2019-12-14 19:40:00,0.19,0.63,0.6,20.0,0.5,0.17,0.45,1.058823529,0.35,2019-12-14 19:52:00,12.0,87.5
2019-12-14 19:44:00,0.19,0.63,0.6,5.0,0.5,0.17,0.45,1.058823529,0.35,2019-12-14 19:59:00,15.0,100.0
2019-12-14 19:44:00,0.19,0.63,0.06,5.0,0.5,0.17,0.45,1.058823529,0.35,2019-12-14 20:03:00,19.0,100.0
2019-12-14 07:42:00,0.34,1.13,0.11,5.0,0.5,0.17,0.45,1.05882352,0.35,2019-12-14 07:51:00,9.0,75.0
2019-12-14 07:42:00,0.19,0.63,0.15,5.0,0.5,0.17,0.45,1.0588229999999998,0.35,2019-12-14 07:52:00,10.0,100.0
2019-12-14 19:40:00,0.19,0.63,0.6,20.0,0.5,0.17,0.45,1.058823529,0.35,2019-12-14 19:52:00,12.0,87.5
